order2,home,away,rivalry,favored,underdog,line,etp,fminusu,favscore,undscore,tp,fro1,fpo1,fto1,fso1,frd1,fped1,ftd1,fsd1,fws,fls,fsched,uro1,upo1,uto1,uso1,urd1,uped1,utd1,usd1,uws,uls,usced,frank,urank,fnr,unr,finj,uinj,top25game,confgame,nightgame,conference,week,year,stadium,power5,ACC,BigEast,BigTen,BigTwelve,CUSA,IND,MAC,MntWest,NonConf,PacTen,SEC,SunBelt,WAC,NoRivalry,MinorRivalry,MajorRivalry,AnyRivalry,Home_Rating,Away_Rating,,,fsched,finj,power5,Any
335,West Virginia,Syracuse,None,West Virginia,Syracuse,16,49,21,27,6,33,268.2425,162.852,434.11,36.09222222,132.016,99.02888889,330.1321429,17.987,1,0,0.4348,153.7133333,147.3125,310.1975,19.7425,177.34,130.41875,414.25,26.46285714,0,1,0.6333,15,0,0,1,1,1,1,1,1,Big East,8,2004,63500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,77.45,71.35,,,0.5443038,0,0,1
1251,San Jose St.,Idaho,None,San Jose St.,Idaho,6.5,60,8,26,18,44,138.6,207.2,345.8,22.2,143.4,148.94,455.5,33.9,1,0,0.3902439,69.7,269.5,339.2,22.5,181.2,137.21,428.9,39.3,0,2,0.35164835,0,0,1,1,1,10,0,1,1,Sun Belt,13,2005,31218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,54.85,51.22,,,0.63636364,0,0,0
1267,Virginia Tech,Florida State,None,Virginia Tech,Florida State,14,43.5,-5,22,27,49,204.64,175.91,380.55,34.82,94.55,88.38,236.73,10.64,2,0,0.56190476,104.45,290.09,394.55,29.64,111.82,122.91,295.73,21.64,0,3,0.5,5,28,0,0,1,9,1,1,1,ACC,14,2005,65000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,93.07,82.31,,,0.46478873,0,0,0
1214,San Jose St.,New Mexico State,Minor,San Jose St.,New Mexico State,7.5,56,17,27,10,37,125.44,205.56,331,21.67,158.22,157.12,464.33,36.56,0,8,0.43939394,81.4,252,333.4,16.7,212.6,150.7,489,41.4,0,11,0.56790123,0,0,1,1,1,5,0,1,0,WAC,12,2005,31218,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,54.85,44.25,,,0.4571,1,0,1
866,Tulsa,Houston,None,Tulsa,Houston,3,61,-7,23,30,53,160.75,222.75,383.5,29,233.25,89.45,354,26.25,2,0,0.5,192,283,475,32,172,114.07,474,30.67,0,1,0.75,0,0,1,1,1,6,0,1,1,CUSA,5,2005,40385,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,75.04,66,,,0.5667,1,0,0
1029,Rice,Navy,None,Navy,Rice,7,55.5,32,41,9,50,267,159.8,426.8,29.4,172.4,128.09,373.8,28,3,0,0.34782609,206,86.4,292.4,21.2,206,172.75,481.8,48.2,0,11,0.64,0,0,1,1,1,3,0,1,1,INDP,8,2005,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53.76,72.71,,,0.4624,1,0,0
1206,Boise St.,Idaho,Minor,Boise St.,Idaho,33,62.5,35,70,35,105,207.5,223.5,431,34.8,114.8,129.01,375.8,24.2,0,1,0.44444444,69.44,259.78,329.22,21.11,173.11,140.82,425.78,35.89,0,1,0.32,37,0,0,1,1,9,0,1,0,WAC,12,2005,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,74.51,51.22,,,0.4348,1,0,0
1178,Miami-Ohio,Bowling Green,None,Miami-Ohio,Bowling Green,10,54,-28,14,42,56,157.11,295.22,452.33,35.44,139.44,118.35,370,23.22,4,0,0.33333333,142.11,291.67,433.78,32.11,189.11,128.05,378.22,27.33,1,0,0.37662338,0,0,1,1,1,2,0,1,1,MAC,12,2005,30012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,69.92,67.2,,,0.3902439,1,0,0
864,UL-Monroe,Arkansas State,None,Arkansas State,UL-Monroe,3,50.5,-4,27,31,58,225,166.75,391.75,37.25,167,129.22,405.25,23.75,1,0,0.4,120.5,186.5,307,14.5,197.75,134.11,426.25,32.5,1,0,0.55555556,0,0,1,1,1,0,0,1,1,Sun Belt,5,2005,30427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,54.55,57.2,,,0.56190476,1,1,0
1610,Navy,Rutgers,None,Navy,Rutgers,2,44.5,-34,0,34,34,350.5,54.5,405,29,129.67,126.07,349.67,18.33,2,0,0.54166667,208.2,123,331.2,31.2,73.8,96.3,233.4,10,5,0,0.45454545,0,24,1,0,1,4,1,1,0,INDP,7,2006,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,75.33,88.17,,,0.43939394,1,0,1
1501,LSU,Mississippi St.,None,LSU,Mississippi St.,34,41.5,31,48,17,65,153.75,249.75,403.5,35.5,83,61.28,185.25,5,1,0,0.7,105.5,132.75,238.25,11.25,103.75,143.41,324.75,22.75,1,0,0.54545455,9,0,0,1,1,4,1,1,0,SEC,5,2006,91667,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,94.29,66.56,,,0.5,1,0,0
1979,TCU,Northern Illinois,None,TCU,Northern Illinois,12,46,30,37,7,44,194.33,210.17,404.5,28.58,67.58,104.68,249.5,12.75,7,0,0.45801527,180.17,208.33,388.5,27,115.58,142.6,357.08,19.83,2,0,0.42105263,25,0,0,1,1,8,1,0,1,NC,15,2006,70000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,81.98,64.78,,,0.34782609,1,0,0
1538,UNLV,Nevada,Major,Nevada,UNLV,3.5,48,28,31,3,34,157.5,190,347.5,24.75,167.75,123.01,341.75,27.75,2,0,0.6,95.67,260.67,356.33,25.67,137.67,137.39,424.33,22.67,0,2,0.14285714,0,0,1,1,1,2,0,0,1,NC,5,2006,40000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,56.49,71.62,,,0.44444444,1,0,1
1909,Louisiana Tech,Nevada,None,Nevada,Louisiana Tech,20,57.5,42,42,0,42,180.3,199.8,380.1,32.2,130.2,114.28,312.3,19,4,0,0.38202247,122.8,213.4,336.2,19.2,224.8,162.95,474.4,41.6,0,1,0.56666667,0,0,1,1,1,2,0,1,1,WAC,12,2006,30600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,49.18,71.62,,,0.33333333,1,0,0
